country,year,debt_gdp,d_debt_gdp_3y,int_rev,primary_bal_gdp,r_minus_g_3y,slope,real_ltrate_3y,infl,d_infl_3y,ca_gdp,ca_persist_3y,rer_usd_chg_3y,real_wage_g_3y,credit_gap_5y,credit_gap_7y,credit_gap_10y,int_rev_is_proxy,primary_bal_uses_int_proxy,ca_persist_is_ext_proxy
Switzerland,1906,0.032059058039836316,-0.014782163816499008,0.0597083110029935,0.002375262262058365,-0.03733660344286933,-0.010408333333333346,0.014675510970485882,0.028301841812919726,0.00840154194814291,,,-0.03933582713471484,0.06665567931546845,0.01437022056336068,0.029509254612776648,0.07767717057977652,True,True,False
Switzerland,1907,0.0295881195894409,-0.00829169936577662,0.05305277126559189,0.0024889636532191744,-0.021855238996309333,-0.018424999999999997,0.006202181114607037,0.028669989567636556,0.028669989567636556,,,-0.03264243931186439,0.06374732712396813,0.019879166577543517,0.03459272158076421,0.07173659477268579,True,True,False
Switzerland,1908,0.030352917240841742,-0.0064827895632765045,0.0572114460153646,0.0004343059043481301,-0.0017530321615218045,0.002349999999999998,0.013900088772598487,0.013377902301648259,-0.020768722973974363,,,-0.024778275514510395,0.09020449974369815,0.06713769058946717,0.08355489803266591,0.11209214385698019,True,True,False
Switzerland,1909,0.035498845956219376,0.0034397879163830594,0.06513057930878856,0.0006381086107872223,0.013508596473610506,-0.003599999999999999,0.016883495774872557,0.016501620806097517,-0.011800221006822209,,,-0.051831567747052554,0.06920865358499628,0.05133752826257165,0.06731082250765819,0.09453725359104048,True,True,False
Switzerland,1910,0.03289557216989714,0.0033074525804562445,0.06107481391093813,0.002255084627427861,-0.004129813422000653,-0.007999999999999993,0.012970919519806529,0.042207718332834654,0.013537728765198098,,,-0.059736339887594636,0.02849181971463821,0.06599785473262743,0.08540420595831222,0.11139326863908416,True,True,False
Switzerland,1911,0.03026584580782268,-8.707143301906264e-05,0.058708064430256855,0.0011649828482194413,-0.008523149411626997,-0.0015083333333333337,0.010960761362545684,0.023883376773430776,0.010505474471782517,,,-0.04802031533467155,0.0054355670875507744,0.06695626409035027,0.09437031633040815,0.12475193467487555,True,True,False
Switzerland,1912,0.02866979610828219,-0.006829049847937186,0.05799581876445701,0.0015380819884329947,-0.023415411749791566,-0.009808333333333336,0.005990932870711625,0.0365111062815997,0.020009485475502187,,,-0.023630845570044468,-0.03338724085480749,0.04851607743537323,0.08362751424231818,0.11464554470574884,True,True,False
Switzerland,1913,0.029182744022948348,-0.0037128281469487948,0.060524333225229314,-0.0020185761914537715,0.016271174620676152,-0.0032999999999999974,0.028744057028008647,-0.02152665413905641,-0.06373437247189107,,,0.00601232017983655,0.02350608705034629,0.059985104934750844,0.08983643760263371,0.1287966751149101,True,True,False
Switzerland,1914,0.0681250964299269,0.03785925062210421,0.1669042424242424,-0.026268378572175656,0.04305321925871849,-0.008400000000000005,0.03060491954665962,0.01800078921747783,-0.005882587555952945,,,0.0047530290692310295,0.019228762030146784,0.11347198746561915,0.1456134408099492,0.19406172082454498,True,True,False
Switzerland,1915,0.11526580056550552,0.08659600445722333,0.3392052194543298,-0.0358827032474727,0.022775608362477485,0.0025000000000000022,-0.0013246190214438597,0.14999972198591016,0.11348861570431046,,,-0.0718867440387797,-0.1033886987584055,0.012674318883610702,0.04439426588567952,0.09136609074262414,True,True,False
Switzerland,1916,0.14057087099169588,0.11138812696874753,0.22420271629778668,-0.015744014031413244,-0.06811324845736579,0.003499999999999996,-0.06257253006096436,0.1652170789795051,0.18674373311856152,,,-0.1894089373201352,-0.20072947261885132,-0.19657490600557415,-0.18539120028910072,-0.15217376053080334,True,True,False
Switzerland,1917,0.15336862165862528,0.08524352522869838,0.2496492232215863,-0.02019258347422051,-0.15864356617341577,0.005300000000000006,-0.14681216825488877,0.2761197037992511,0.2581189145817733,,,-0.3020875477911561,-0.2399368663482272,-0.2774983197404416,-0.292461543506063,-0.2828606682187772,True,True,False
Switzerland,1918,0.16950577061419622,0.0542399700486907,0.28529249011857705,-0.016395158276178975,-0.13670785376701045,-0.0016000000000000042,-0.15803967567786484,0.19298224425483834,0.04298252226892818,,,-0.30719226406107536,-0.047526570643862676,-0.28599943154773466,-0.3356346257498385,-0.35225925354416543,True,True,False
Switzerland,1919,0.20280242401141196,0.062231553019716085,0.3076968680089485,-0.010797779025904418,-0.08075237042354347,0.005599999999999994,-0.1301790654542787,0.08823524830874674,-0.07698183067075837,,,-0.03323303469484895,0.22686320720752584,-0.1339659358945119,-0.23331869901434887,-0.27563469455017897,True,True,False
Switzerland,1920,0.1879397600095991,0.034571138350973835,0.331520254893036,-0.002820451083661593,-0.020834282655381432,0.020000000000000004,-0.026742218766312345,0.009009163735351988,-0.2671105400638991,,,0.47980214138679433,0.4907200089350505,-0.10957381577281256,-0.24197841138945253,-0.31494828190807556,True,True,False
Switzerland,1921,0.2600444459754796,0.09053867536128338,0.41850879999999996,-0.011706366486832733,0.09300077031104041,0.020999999999999998,0.06429949858577323,-0.10714290780141844,-0.3001251520562568,-0.021104353358084634,,0.5910174259718863,0.5786134321432583,0.1574936296892533,0.06984808512310714,-0.03312477612467424,True,True,False
Switzerland,1922,0.28753504127347,0.08473261726205805,0.27790794979079503,0.008113319375987452,0.1309269794628583,0.018000000000000002,0.14071121360121644,-0.17999989673758288,-0.2682351450463296,0.01000008951131761,,0.3088706784963553,0.44944446561775253,0.19493186328333167,0.17467729420161882,0.057805015660454595,True,True,False
Switzerland,1923,0.27844784620790264,0.09050808619830353,0.32899439197166463,0.002675983119510613,0.13639329365920522,0.007899999999999997,0.1436142681796671,0.0,-0.009009163735351988,-0.0195045117885209,-0.010202925211762642,0.09299233326512835,0.2006293425749308,0.08725486677325245,0.11697514055566516,0.022316117094197896,True,True,True
Switzerland,1924,0.25846235360507214,-0.0015820923704074619,0.3312919882885281,0.013658191670899019,0.015064035506815038,0.013099999999999994,0.10293743384852701,0.030487595192001837,0.13763050299342028,0.0072775236083339415,-0.0007422995562897829,0.07662745318877762,0.04825839546782129,0.03224094545646028,0.0804706157313031,0.03819029861044676,True,True,True
Switzerland,1925,0.2479240930095778,-0.03961094826389222,0.2970132856412877,0.014124888237315,-0.0017702489765648172,0.015499999999999993,0.042309810358586504,-0.0059170262677613605,0.17408287046982152,0.0261709620335914,0.004647991284468147,0.0031006744648283124,-0.031112627414915384,-0.0006306959604951423,0.06903461795686217,0.08704851882439657,True,True,True
Switzerland,1926,0.24456678107577806,-0.03388106513212458,0.2363739873001971,0.019775437204176252,0.015751625133082744,0.012999999999999998,0.05171461729318068,-0.03571442080378251,-0.03571442080378251,0.03023102051536963,0.021226502052431654,-0.020109895023229796,0.06409096262997371,0.06665511920934364,0.11711333171619653,0.16829535837209786,True,True,True
